id,genreid,imdbid
1,0,1226229
2,1,1226229
3,2,1385826
4,3,1385826
5,4,1385826
6,5,1813757
7,6,1813757
8,7,1813757
9,8,1813757
10,0,88930
11,6,88930
12,7,88930
13,4,88930
14,0,1748122
15,9,1748122
16,10,1748122
17,2,1748122
18,5,9898858
19,0,9898858
20,6,9898858
21,5,102685
22,6,102685
23,4,102685
24,0,348333
25,0,1645170
26,5,320661
27,11,320661
28,9,320661
29,12,320661
30,8,320661
31,5,5164214
32,0,5164214
33,6,5164214
34,5,6521876
35,11,6521876
36,0,6521876
37,6,240772
38,4,240772
39,0,4226162
40,5,463854
41,11,463854
42,13,463854
43,3,463854
44,5,76729
45,11,76729
46,0,76729
47,0,6254796
48,5,910936
49,0,910936
50,6,910936
51,0,278488
52,14,278488
53,0,120693
54,6,120693
55,0,456554
56,15,822818
57,0,822818
58,0,10311562
59,11,365830
60,0,365830
61,1,365830
62,16,365830
63,5,2788710
64,11,2788710
65,0,2788710
66,0,2337840
67,5,1442449
68,11,1442449
69,17,1442449
70,9,1442449
71,2,1442449
72,0,10062292
73,9,10062292
74,0,443453
75,9,93058
76,8,93058
77,9,475784
78,7,475784
79,3,475784
80,9,120663
81,7,120663
82,4,120663
83,6,443706
84,9,443706
85,7,443706
86,4,443706
87,5,10230994
88,6,10230994
89,9,10230994
90,4,10230994
91,5,425112
92,0,425112
93,7,425112
94,4,425112
95,18,11864802
96,9,7394674
97,13,7394674
98,0,118715
99,6,118715
100,15,9060526
101,0,9060526
102,5,47478
103,9,47478
104,6,317248
105,9,317248
106,19,3152592
107,11,3152592
108,0,3152592
109,6,3152592
110,10,3152592
111,14,3152592
112,13,3152592
113,7,3152592
114,3,3152592
115,,5231642
116,17,6199572
117,6,6199572
118,9,6199572
119,18,476031
120,11,838221
121,0,838221
122,9,838221
123,6,349903
124,4,349903
125,0,7826376
126,7,7826376
127,3,7826376
128,0,1480684
129,18,1480684
130,0,27977
131,9,27977
132,2,27977
133,9,46438
134,0,12466128
135,0,21836654
136,0,88847
137,9,88847
138,0,16280138
139,9,16280138
140,5,8851668
141,0,8851668
142,6,8851668
143,7,8851668
144,2,8851668
145,4,8851668
146,0,109424
147,6,109424
148,9,109424
149,7,109424
150,2,109424
151,9,166924
152,7,166924
153,4,166924
154,9,50976
155,14,50976
156,17,5580036
157,0,5580036
158,9,5580036
159,18,5580036
160,15,14318270
161,15,11823076
162,17,11823076
163,6,11823076
164,9,254686
165,1,254686
166,5,1856101
167,9,1856101
168,7,1856101
169,3,1856101
170,4,1856101
171,5,8488746
172,0,1295072
173,9,1295072
174,15,1355640
175,12,1355640
176,11,9777644
177,9,9777644
178,8,9777644
179,11,318462
180,17,318462
181,9,318462
182,0,2380564
183,0,3244992
184,6,3244992
185,9,3244992
186,9,137523
187,6,496806
188,4,496806
189,0,97216
190,9,97216
191,0,8580274
192,16,8580274
193,9,59749
194,4,59749
195,6,181865
196,9,181865
197,4,181865
198,9,67328
199,2,67328
200,0,3104988
201,9,3104988
202,2,3104988
203,0,9686708
204,9,9686708
205,5,1053424
206,3,1053424
207,4,1053424
208,5,7556122
209,4,7556122
210,5,6146586
211,6,6146586
212,4,6146586
213,0,78446
214,1,78446
215,0,9484998
216,14,9484998
217,7,9484998
218,2,9484998
219,5,55630
220,9,55630
221,4,55630
222,13,86541
223,3,86541
224,4,86541
225,11,31971
226,9,31971
227,20,31971
228,5,58461
229,9,58461
230,20,58461
231,9,7984734
232,14,7984734
233,7,7984734
234,4,7984734
235,9,72417
236,2,72417
237,5,167261
238,11,167261
239,9,167261
240,14,167261
241,5,167260
242,11,167260
243,9,167260
244,14,167260
245,15,12724622
246,18,12724622
247,17,6017756
248,9,6017756
249,2,6017756
250,0,19887218
251,5,7550000
252,6,7550000
253,3,7550000
254,4,7550000
255,15,12179904
256,15,11615290
257,17,11615290
258,1,11615290
259,5,76759
260,11,76759
261,14,76759
262,3,76759
263,0,1499658
264,6,1499658
265,5,6902676
266,0,6902676
267,6,6902676
268,4,6902676
269,15,6453158
270,11,1086064
271,0,1086064
272,1,1086064
273,3,1086064
274,,14028710
275,0,61722
276,9,61722
277,2,61722
278,9,1853728
279,20,1853728
280,5,107290
281,11,107290
282,3,107290
283,4,107290
284,9,120338
285,2,120338
286,17,993846
287,0,993846
288,6,993846
289,9,993846
290,5,109370
291,0,109370
292,6,1568346
293,9,1568346
294,7,1568346
295,4,1568346
296,0,8264546
297,0,104694
298,9,104694
299,18,104694
300,5,4616250
301,3,4616250
302,4,4616250
303,0,250494
304,2,250494
305,9,2316411
306,7,2316411
307,4,2316411
308,15,8488126
