id,imdbid,languageid
1,1226229,1
2,1385826,1
3,1813757,1
4,88930,1
5,1748122,1
6,9898858,1
7,102685,1
8,348333,1
9,1645170,1
10,320661,1
11,5164214,1
12,6521876,1
13,240772,1
14,4226162,1
15,463854,1
16,76729,1
17,6254796,1
18,910936,1
19,278488,1
20,120693,1
21,456554,1
22,822818,1
23,10311562,1
24,365830,1
25,2788710,1
26,2337840,1
27,1442449,1
28,10062292,1
29,443453,1
30,93058,1
31,475784,1
32,120663,1
33,443706,1
34,10230994,1
35,425112,1
36,7394674,1
37,118715,1
38,9060526,1
39,3152592,1
40,6199572,1
41,476031,1
42,838221,1
43,349903,1
44,7826376,1
45,1480684,1
46,27977,1
47,46438,1
48,12466128,1
49,21836654,1
50,88847,1
51,16280138,1
52,8851668,1
53,109424,1
54,166924,1
55,5580036,1
56,14318270,1
57,11823076,1
58,1856101,1
59,8488746,1
60,1295072,1
61,1355640,1
62,9777644,1
63,2380564,1
64,3244992,1
65,137523,1
66,496806,1
67,97216,1
68,8580274,1
69,59749,1
70,181865,1
71,67328,1
72,3104988,1
73,9686708,1
74,1053424,1
75,7556122,1
76,6146586,1
77,78446,1
78,9484998,1
79,86541,1
80,31971,1
81,7984734,1
82,72417,1
83,167261,1
84,167260,1
85,6017756,1
86,19887218,1
87,7550000,1
88,12179904,1
89,11615290,1
90,76759,1
91,1499658,1
92,6902676,1
93,6453158,1
94,1086064,1
95,14028710,1
96,61722,1
97,1853728,1
98,107290,1
99,120338,1
100,993846,1
101,109370,1
102,1568346,1
103,8264546,1
104,104694,1
105,4616250,1
106,250494,1
107,2316411,1
108,8488126,1
109,3397884,1
110,815241,1
111,1255953,1
112,6723592,1
113,1813757,2
114,88930,3
115,5164214,3
116,838221,3
117,349903,3
118,166924,3
119,254686,3
120,1295072,3
121,9777644,3
122,496806,3
123,3104988,3
124,7556122,3
125,86541,3
126,31971,3
127,12724622,3
128,1853728,3
129,120338,3
130,993846,3
131,8264546,3
132,1255953,3
133,348333,4
134,320661,4
135,5164214,4
136,1442449,4
137,118715,4
138,838221,4
139,254686,4
140,1295072,4
141,1086064,4
142,1853728,4
143,8264546,4
144,1645170,5
145,443453,5
146,118715,5
147,1295072,5
148,815241,5
149,1645170,6
150,320661,6
151,7556122,6
152,6146586,6
153,815241,6
154,1255953,6
155,320661,7
156,50976,7
157,6146586,7
158,320661,8
159,240772,8
160,6199572,8
161,349903,8
162,97216,8
163,7556122,8
164,6146586,8
165,86541,8
166,58461,8
167,72417,8
168,1853728,8
169,120338,8
170,8264546,8
171,5164214,9
172,838221,9
173,109424,9
174,6723592,9
175,5164214,10
176,349903,10
177,109424,10
178,496806,10
179,3104988,10
180,6146586,10
181,6521876,11
182,118715,11
183,6199572,11
184,166924,11
185,1856101,11
186,318462,11
187,496806,11
188,97216,11
189,181865,11
190,1053424,11
191,78446,11
192,86541,11
193,31971,11
194,58461,11
195,7550000,11
196,6902676,11
197,1086064,11
198,107290,11
199,8264546,11
200,3397884,11
201,815241,11
202,240772,12
203,910936,12
204,109424,12
205,3104988,12
206,910936,13
207,2788710,13
208,97216,13
209,120693,14
210,443453,15
211,443453,16
212,443453,17
213,93058,18
214,9777644,18
215,10230994,19
216,8264546,19
217,11864802,20
218,5231642,20
219,7394674,21
220,47478,22
221,46438,22
222,109424,22
223,1856101,22
224,6146586,22
225,55630,22
226,86541,22
227,317248,23
228,8580274,23
229,838221,24
230,109424,24
231,838221,25
232,349903,26
233,59749,26
234,109424,27
235,50976,28
236,120338,28
237,1568346,28
238,1856101,29
239,9777644,29
240,1856101,30
241,1856101,31
242,1295072,31
243,6146586,31
244,6723592,31
245,1856101,32
246,318462,33
247,318462,34
248,8580274,35
249,3104988,36
250,3104988,37
251,6146586,38
252,58461,39
253,815241,39
254,167261,40
255,167260,40
256,167261,41
257,167260,41
258,167260,42
259,1086064,43
260,3397884,44
261,6723592,44
262,6723592,45
263,6723592,46
