imdbid,genreid
1226229,1
1226229,2
8367814,6
8367814,1
8367814,7
1385826,3
1385826,4
1385826,5
1813757,6
1813757,7
1813757,8
1813757,9
88930,1
88930,7
88930,8
88930,5
1748122,1
1748122,10
1748122,11
1748122,3
9898858,6
9898858,1
9898858,7
102685,6
102685,7
102685,5
348333,1
1645170,1
320661,6
320661,12
320661,10
320661,13
320661,9
96928,12
96928,1
96928,2
96928,3
96928,4
101452,12
101452,1
101452,15
101452,2
101452,4
5164214,6
5164214,1
5164214,7
6521876,6
6521876,12
6521876,1
240772,7
240772,5
463854,6
463854,12
463854,14
463854,4
76729,6
76729,12
76729,1
6254796,1
910936,6
910936,1
910936,7
278488,1
278488,15
120693,1
120693,7
456554,1
365830,12
365830,1
365830,2
365830,17
2788710,6
2788710,12
2788710,1
93058,10
93058,9
120663,10
120663,8
120663,5
443706,7
443706,10
443706,8
443706,5
10230994,6
10230994,7
10230994,10
10230994,5
425112,6
425112,1
425112,8
425112,5
11864802,19
7394674,10
7394674,14
118715,1
118715,7
47478,6
47478,10
317248,7
317248,10
3152592,20
3152592,12
3152592,1
3152592,7
3152592,11
3152592,15
3152592,14
3152592,8
3152592,4
5231642,
6199572,18
6199572,7
6199572,10
476031,19
9684220,1
838221,12
838221,1
838221,10
349903,7
349903,5
27977,1
27977,10
27977,3
46438,10
12466128,1
21836654,1
88847,1
88847,10
16280138,1
16280138,10
8851668,6
8851668,1
8851668,7
8851668,8
8851668,3
8851668,5
6146586,6
6146586,7
6146586,5
78446,1
78446,2
9484998,1
9484998,15
9484998,8
9484998,3
55630,6
55630,10
55630,5
86541,14
86541,4
86541,5
31971,12
31971,10
31971,21
58461,6
58461,10
58461,21
7984734,10
7984734,15
7984734,8
7984734,5
72417,10
72417,3
167261,6
167261,12
167261,10
167261,15
167260,6
167260,12
167260,10
167260,15
12724622,16
12724622,19
6017756,18
6017756,10
6017756,3
19887218,1
7550000,6
7550000,7
7550000,4
7550000,5
12179904,16
11615290,16
11615290,18
11615290,2
76759,6
76759,12
76759,15
76759,4
1499658,1
1499658,7
6902676,6
6902676,1
6902676,7
6902676,5
6453158,16
1086064,12
1086064,1
1086064,2
1086064,4
14028710,
61722,1
61722,10
61722,3
