id,title,description,director,country,year,language,image,imdbid
31,ALPHAVILLE,"A cockeyed fusion of science fiction, pulp characters, and surrealist poetry, Godard’s irreverent journey to the mysterious Alphaville remains one of the least conventional films of all time. Eddie Constantine stars as intergalactic hero Lemmy Caution, on a mission to kill the inventor of fascist computer Alpha 60.",Jean-Luc Godard,France,1965,French,https://s3.amazonaws.com/criterion-production/films/7053ad19be02c2f5762fcaaa159d2610/zhh3azNCrMn6HnSV8q2KdvWcxgbGyc_large.jpg,0058898
18,THE AGE OF THE MEDICI,"Roberto Rossellini’s three-partThe Age of the Mediciis like a Renaissance painting come to life: a portrait of fifteenth-century Florence, ruled by the Medici political dynasty. With a lovely score from composer Manuel de Sica (son of Vittorio), this grand yet intimate work is a storybook conjuring of a way of life and thought.",Roberto Rossellini,Italy,1973,Italian,https://s3.amazonaws.com/criterion-production/films/8d5277524c0145b565ff66601d48b63c/i5ub3rQJ4TLqUmnDRf2RPPct4Pt4oZ_large.jpg,3581920
1087,THIS IS SPINAL TAP,"Rob Reiner''s directorial debut has developed into a cult phenomenon. The film that invented the rockumentary has now outlasted most of the bands it mocked. Following the ill-fated American comeback tour of an aging heavy-metal group, this film has joined the ranks of the greatest comedies ever made.",Rob Reiner,United States,1984,,https://s3.amazonaws.com/criterion-production/films/5d50540d4d5129f771caaeb888818d92/NLVNXJuptPJ2EyP2NWafJEfJEL5YlF_large.jpg,0088258
129,BLOOD FOR DRACULA,"Paul Morrissey’s moralistic take on modern values is a brash mixture of humor, horror, and sex—and a revelation to fans of the horror film. InBlood for Dracula,the infamous count searches Italy for virgin blood. Criterion presents the long-suppressed director''s cut of this outrageous cult classic in a widescreen transfer.",Paul Morrissey,United States,1974,English,https://s3.amazonaws.com/criterion-production/films/114637a5e458396f39cd567dd80ac698/XqIEaYAyBcgMdJzaqGaWQsnuVZR9Ot_large.jpg,0071233
336,EVERY-NIGHT DREAMS,"In the formally ravishingEvery-Night Dreams,set in the dockside neighborhoods of Tokyo, a single mother works tirelessly as a Ginza bar hostess to ensure a better life for her young son—until her long-lost husband returns.",Mikio Naruse,Japan,1933,Japanese,https://s3.amazonaws.com/criterion-production/films/3059471c517f566f014e151526c17bf3/M93oxLH4L4JoUP1ZtX9a5ODe3LwqC2_large.jpg,0024793
418,THE GOLDEN AGE OF TELEVISION,"The hugely popular live American television plays of the 1950s have become the stuff of legend. Combining elements of theater, radio, and filmmaking, they were produced at a moment when TV technology was growing more mobile and art was being made accessible to a newly suburban postwar demographic. These astonishingly choreographed, brilliantly acted, and socially progressive “teleplays” constituted an artistic high for the medium, bringing Broadway-quality drama to all of America. The award-winning programs included in this box set—originally curated for PBS in the early 1980s as the seriesThe Golden Age of Television,featuring recollections from key cast and crew members—were conceived by such up-and-comers as Rod Serling and John Frankenheimer and star the likes of Paul Newman, Mickey Rooney, Rod Steiger, Julie Harris, and Piper Laurie.MartyRenowned dramatist Paddy Chayefsky’s poignant and touching character study of a lonely, middle-aged butcher (Rod Steiger) looking for love helped usher in the naturalistic style of television drama in the 1950s.Marty,directed by Delbert Mann, remains an enduring classic of the age of live television.PatternsNothing less than a milestone in television drama, writer Rod Serling’sPatternsexamines a power struggle between a corporate boss (Everett Sloane), a washed-up company man (Ed Begley), and the young executive groomed to take his place (Richard Kiley). A huge hit when first broadcast, the production was re-aired the following week, which was unprecedented at the time.No Time for SergeantsAndy Griffith makes his first television appearance as Will Stockdale, a bumptious Air Force draftee who manages to drive his sergeant (Harry King) and the jokers who share his barracks crazy.No Time for Sergeantsis a riotous military comedy and launched newcomer Griffith to stardom.A Wind from the SouthJulie Harris stars as Shivawn, an Irish country innkeeper who finds new meaning in her life when she finally experiences her first love, with a troubled tourist (Donald Woods). Written by playwright James Costigan,A Wind from the Southfeatures a typically marvelous performance from Harris and a surprising turn from Merv Griffin, who sings the show’s theme song.Requiem for a HeavyweightA punch-drunk prizefighter (Jack Palance) is forced to face life outside the ring in Rod Serling’s searing indictment of the professional boxing underworld. Costarring father and son Ed and Keenan Wynn, the former in his dramatic debut, and directed by Ralph Nelson, the Emmy Award–winningRequiem for a Heavyweightis a moving portrait of a would-be champion.Bang the Drum SlowlyPaul Newman is the star pitcher of a professional baseball team who helps a terminally ill country bumpkin catcher (Albert Salmi) live out one last season on the diamond. A touching and honest tale of friendship,Bang the Drum Slowlyis also considered one of the finest baseball stories of all time.The ComedianMickey Rooney stars as a raging, tyrannical TV star stepping on anyone on his way to the top, including his browbeaten brother (Mel Tormé), despairing wife (Kim Hunter), and washed-up scriptwriter (Edmond O’Brien). Powerfully directed by John Frankenheimer from a script adapted for the screen by Rod Serling,The Comedianis a volatile glimpse behind the showbiz curtain.Days of Wine and RosesA young married couple falls into a downward spiral of alcoholism and self-destruction in writer JP Miller’s devastatingDays of Wine and Roses.Masterfully directed by John Frankenheimer, this acclaimed production features riveting performances from Piper Laurie, Cliff Robertson, and Charles Bickford.",,United States,,English,https://s3.amazonaws.com/criterion-production/films/9fbc0bbe06284eca9d7de4fcf1158ed7/P38oZJKFuJuNUi7ZRNaHJIH6WkAKQZ_large.jpg,1655441
470,HOTEL MONTEREY,"Under Chantal Akerman’s watchful eye, a cheap  Manhattan hotel glows with mystery and unexpected beauty, its corridors, elevators, rooms, windows, and occasional occupants framed like Edward Hopper tableaux.",Chantal Akerman,United States,1972,,https://s3.amazonaws.com/criterion-production/films/a187a9463f293d4604408fc78c19de6d/IvqGBi8UXnGK2OGOL4qOKHz8qVJStc_large.jpg,0068725
1052,TAKE AIM AT THE POLICE VAN,"At the beginning of Seijun Suzuki’s taut and twisty whodunit, a prison truck is attacked and a convict inside murdered. The penitentiary guard on duty, Daijiro (Michitaro Mizushima), is accused of negligence and suspended, only to take it upon himself to track down the killers.",Seijun Suzuki,Japan,1960,Japanese,https://s3.amazonaws.com/criterion-production/films/d81c7ac9039bb94b49434d9972738535/peRwViSXsg2tfM2591Cm0V6NKboz8b_large.jpg,0054325
36,EL AMOR BRUJO,"The Flamenco Trilogy''s most straightforward narrative is also its most forthrightly theatrical, a modern take on composer Manuel de Falla''s gypsy ballet, dressed up in pink sunsets and hellishly red fires. Set in a dusty Andalusian village,El amor brujo(Love the Magician) is a seductive melodrama of a man (Antonio Gades) whose beloved is haunted by the ghost of another.",Carlos Saura,Spain,1986,Spanish,https://s3.amazonaws.com/criterion-production/films/383d8a7d40762165ed0eeefb3f475755/7iG3D8YVVdC0EMhYGIyDR8lJaBudTD_large.jpg,0090636
109,BIG DEAL ON MADONNA STREET,"An all-star cast and jazzy score highlight this charming comedy, a deft satire of classic caper films likeRififi. Big Deal on Madonna Streethilariously details the plight of a sad-sack group of bumbling thieves and their desperate attempts to pull off the perfect heist.",Mario Monicelli,Italy,1958,Italian,https://s3.amazonaws.com/criterion-production/films/3ea30a24e22aa24b78417d7c2e5a9c82/TiFmiKcnV2SowrX7dD8EgDucoPy0jI_large.jpg,0052216
1171,VIVE LE TOUR,"In his short documentaryVive le Tour, Louis Malle presents his energetic evocation of the Tour de France.  This,Humain, trop humain, andPlace de la République, Louis Malle’s three French-set documentaries, reveal, in an eclectic array of ways, the director’s eternal fascination with, and respect for, the everyday lives of everyday people.",Louis Malle,France,1962,French,https://s3.amazonaws.com/criterion-production/films/8003aec02782dec6c53a724005c318d9/QX2K5l3kgdtCaqufsdBTnGj4063rhx_large.jpg,0056662
