imdbid,watch_count
7660850,6
9684220,4
1723121,4
8367814,4
2604846,3
88763,3
78788,3
993846,3
822818,3
1160419,2
10062292,2
443453,2
1606389,2
10948716,2
21836654,2
23848684,2
1392190,2
5439796,2
290988,2
343288,2
2543164,2
1375666,2
15012798,2
2531336,2
2297757,2
2382320,2
366551,2
95016,2
26340263,2
5937754,2
1226229,2
96928,2
18351128,2
5024912,2
4226162,2
120737,2
475784,2
101452,2
8879940,2
300094,1
4299972,1
1175709,1
266308,1
403291,1
8946378,1
7991608,1
15829666,1
9639470,1
170980,1
369339,1
109445,1
298203,1
10919420,1
8110232,1
247425,1
472027,1
9000224,1
2798920,1
116695,1
2446042,1
1397280,1
9893250,1
3626476,1
6751668,1
4326894,1
16403164,1
359203,1
11471892,1
417741,1
373889,1
16301388,1
330373,1
1228705,1
304141,1
9735318,1
8847712,1
295297,1
1300854,1
5607976,1
10838180,1
242653,1
993840,1
234215,1
11286314,1
90305,1
38650,1
479884,1
190332,1
14079374,1
14550344,1
12789558,1
12536294,1
10293406,1
314331,1
936501,1
79470,1
1454468,1
11525644,1
3554046,1
9850386,1
113749,1
1024648,1
117705,1
76666,1
120735,1
1478338,1
5164196,1
12005828,1
10016180,1
8461284,1
15428778,1
945513,1
83944,1
119177,1
10541088,1
2139881,1
10050772,1
8231668,1
387808,1
8143990,1
7312396,1
12801262,1
6107548,1
108550,1
462499,1
74958,1
7014006,1
1206885,1
7937254,1
3272066,1
58385,1
9243804,1
4635276,1
10696896,1
103644,1
106611,1
98554,1
6334354,1
120601,1
61735,1
15091640,1
120815,1
338751,1
4076164,1
1625345,1
14203072,1
870154,1
34583,1
14544192,1
4103804,1
11790674,1
112384,1
14055432,1
90605,1
415306,1
421715,1
8633464,1
86251,1
2368619,1
9764362,1
3500822,1
1074638,1
6074600,1
24509990,1
11138512,1
12477480,1
10432620,1
2305051,1
8178634,1
10954984,1
19770238,1
7322224,1
68646,1
1570728,1
6160448,1
264464,1
22750226,1
14641788,1
104257,1
14674086,1
21639094,1
11128440,1
1266020,1
20245230,1
112573,1
21994438,1
71315,1
11815682,1
14826022,1
4244994,1
5034838,1
17542000,1
24704504,1
285861,1
8241704,1
180668,1
60107,1
93748,1
15338656,1
15462640,1
7193448,1
15523010,1
14512538,1
2246565,1
6076668,1
11248800,1
71562,1
11615038,1
119396,1
1864288,1
13848386,1
190590,1
106514,1
11666848,1
12689876,1
12327104,1
1337032,1
110413,1
9059704,1
10366206,1
72684,1
120689,1
7379330,1
328828,1
7475578,1
14599438,1
10095582,1
71455,1
8772296,1
14084828,1
9620288,1
11271038,1
1560747,1
1242460,1
2401256,1
14992922,1
185906,1
6264654,1
16433744,1
8398600,1
252866,1
9308346,1
373469,1
1790886,1
9224288,1
1229340,1
357413,1
298148,1
113497,1
126029,1
10366460,1
8721424,1
4995540,1
9100054,1
56172,1
55614,1
14039582,1
7740496,1
7979580,1
21849434,1
163651,1
401445,1
102015,1
12193836,1
105695,1
23172896,1
3704428,1
12262116,1
19724012,1
12986462,1
1279972,1
18271228,1
93105,1
91763,1
257044,1
4257858,1
13610562,1
2267998,1
2250912,1
9398640,1
399146,1
17036612,1
12889404,1
17325844,1
5688932,1
8430054,1
272839,1
18096250,1
387564,1
7888964,1
2334649,1
1355640,1
167261,1
72417,1
9742936,1
7984734,1
58461,1
31971,1
86541,1
9059760,1
55630,1
9484998,1
8089592,1
78446,1
6146586,1
7556122,1
15590706,1
1053424,1
9686708,1
3104988,1
67328,1
181865,1
59749,1
8079248,1
8580274,1
97216,1
496806,1
137523,1
3244992,1
2380564,1
318462,1
167260,1
12724622,1
6017756,1
107290,1
2384811,1
118884,1
9203078,1
7846844,1
69762,1
468569,1
1345836,1
7453996,1
3398228,1
372784,1
490822,1
8373204,1
120338,1
1853728,1
19887218,1
61722,1
14028710,1
1086064,1
6453158,1
6902676,1
1499658,1
10758074,1
76759,1
11615290,1
10986410,1
12179904,1
7550000,1
50051,1
9777644,1
1295072,1
206634,1
8488746,1
93058,1
1442449,1
2337840,1
2788710,1
365830,1
10311562,1
456554,1
120693,1
278488,1
910936,1
6254796,1
76729,1
463854,1
240772,1
6521876,1
5164214,1
320661,1
8134186,1
1645170,1
348333,1
102685,1
350448,1
9898858,1
346952,1
1748122,1
88930,1
1813757,1
1385826,1
3032476,1
120663,1
443706,1
10230994,1
27977,1
1856101,1
254686,1
11823076,1
14318270,1
5580036,1
50976,1
166924,1
109424,1
8851668,1
16280138,1
88847,1
12466128,1
46438,1
1480684,1
425112,1
7826376,1
349903,1
838221,1
476031,1
6199572,1
5231642,1
3152592,1
317248,1
47478,1
9060526,1
118715,1
7394674,1
11864802,1
13110256,1
9561478,1
108399,1
82971,1
151804,1
765443,1
1798709,1
478311,1
2004420,1
6669086,1
5109280,1
765429,1
10151854,1
6802400,1
1298650,1
119116,1
1535108,1
988045,1
470752,1
3823690,1
9784798,1
7203552,1
1361336,1
383574,1
325980,1
13666670,1
10642480,1
1151813,1
2379713,1
12575636,1
5052448,1
1195478,1
5616634,1
1022603,1
9362790,1
13890392,1
134847,1
14215442,1
87469,1
175880,1
11250926,1
73195,1
4454406,1
272338,1
413300,1
4158110,1
316654,1
11861072,1
1411250,1
296572,1
4912910,1
7666792,1
2381249,1
1229238,1
10272386,1
13990468,1
371746,1
206636,1
117060,1
1285482,1
14111708,1
11168100,1
2290153,1
8704802,1
70034,1
12673718,1
480249,1
43278,1
112641,1
434409,1
1790885,1
133093,1
7131622,1
1136608,1
78748,1
1130884,1
462538,1
1631867,1
120591,1
10618286,1
116913,1
8134470,1
1194238,1
18475126,1
6723592,1
1255953,1
815241,1
3397884,1
329737,1
8488126,1
10009796,1
2316411,1
250494,1
4616250,1
104694,1
8264546,1
1568346,1
109370,1
838283,1
283111,1
4209788,1
9770150,1
816692,1
378194,1
266697,1
107048,1
94898,1
98635,1
13061914,1
6571548,1
9606374,1
11265724,1
830515,1
1155056,1
5363618,1
6878306,1
6921996,1
9620292,1
89085,1
10612922,1
11382384,1
13935770,1
8063866,1
7671070,1
1037705,1
13660958,1
10633456,1
13617024,1
113277,1
381061,1
21103642,1
